Name,Reference (s),Full Address,Address,City,State,Country,ZIP,Current Status,Converted into?,Creation,Closure,Reason for closure,Owner,Films screened,Website,Notes
Avalon,FDYB1931 -,"/, Loughman, Florida, United States, ",/,Loughman,Florida,United States,,,,,,,,,,
Ace,FDYB1950,"3664 Grand Ave., Miami, Florida, United States, 33133",3664 Grand Ave.,Miami,Florida,United States,33133,Still Standing,awaiting renovation/restoration,1938,1955,,,,https://cinematreasures.org/theaters/24584,
Harlem,FDYB1950,"322 NW 14th St., Miami, Florida, United States, 33136",322 NW 14th St.,Miami,Florida,United States,33136,,,,,,,,,"same as ""Skydome Theater"""
Liberty,FDYB1950,"6700 NW 15th Ave, Miami, Florida, United States, 33147",6700 NW 15th Ave,Miami,Florida,United States,33147,Converted,church,1945,>1955,,,,https://cinematreasures.org/theaters/58495,
Lincoln,FDYB1931 -,"541 Lincoln Rd, Miami, Florida, United States, 33139",541 Lincoln Rd,Miami,Florida,United States,33139,Converted,retail,"Jan 15, 1936",1980s,,,,https://cinematreasures.org/theaters/3087,
Lyric,FDYB1931 - FDYB1950,"819 NW 2nd Ave, Miami, Florida, United States, 33136",819 NW 2nd Ave,Miami,Florida,United States,33136,Still Standing,,1913,,,,,https://www.miamiandbeaches.com/l/arts-and-culture/black-archives-historic-lyric-theater-cultural-arts-complex/3278,
Modern,FDYB1950,"1130 NW 3rd Ave, Miami, Florida, United States, 33136",1130 NW 3rd Ave,Miami,Florida,United States,33136,Demolished,,1941,1960,,,,https://cinematreasures.org/theaters/24885,
Moonlight,FDYB1931 -,"/, Miami, Florida, United States, ",/,Miami,Florida,United States,,,,,,,,,,
Ritz,FDYB1950,"927 NW 2nd Ave, Miami, Florida, United States, 33136",927 NW 2nd Ave,Miami,Florida,United States,33136,,,1934,1964,,,,https://cinematreasures.org/theaters/24585,
Skydome,FDYB1931 -,"322 NW 14th Street, Miami, Florida, United States, 33136",322 NW 14th Street,Miami,Florida,United States,33136,Demolished,,1925,"Jan 28, 1975",,,,https://cinematreasures.org/theaters/20572,"renamed harlem theater in 1933, remodeled and renamed capitol theater on sept 6, 1953"
Tobias,FDYB1950,"/, Moore Haven, Florida, United States, ",/,Moore Haven,Florida,United States,,,,,,,,,,
Harlem,FDYB1950,"/, Mulberry, Florida, United States, ",/,Mulberry,Florida,United States,,,,,,,,,,
Star,FDYB1950,"/, New Smyrna Beach, Florida, United States, ",/,New Smyrna Beach,Florida,United States,,,,,,,,,,
W. Lee,FDYB1950,"/, Newberry, Florida, United States, ",/,Newberry,Florida,United States,,,,,,,,,,
Broadway,FDYB1931 -,"/, Ocala, Florida, United States, ",/,Ocala,Florida,United States,,,,,,,,,,
Florida,FDYB1931 -,"15 E. Silver Springs Blvd., Ocala, Florida, United States, 34471",15 E. Silver Springs Blvd.,Ocala,Florida,United States,34471,Demolished,,1928,>1970s,,,,https://cinematreasures.org/theaters/29323,originally opened as Etta Theater
Roxy,FDYB1950,"212-216 SW Broadway St. , Ocala, Florida, United States, 34471",212-216 SW Broadway St. ,Ocala,Florida,United States,34471,Demolished,,1937,"Jan 14, 1953",fire ,katiba holding co.,,https://cinematreasures.org/theaters/46082,
West Side,FDYB1950,"/, Ocala, Florida, United States, ",/,Ocala,Florida,United States,,,,,,,,,,
Ark,FDYB1926-,"/, Orlando, Florida, United States, ",/,Orlando,Florida,United States,,,,,,,,,,
Lincoln,FDYB1950,"512 W. Church St. , Orlando, Florida, United States, 32801",512 W. Church St. ,Orlando,Florida,United States,32801,Demolished,economy,"March 31, 1937",1960s,,,,https://cinematreasures.org/theaters/14556,
Plantation (Cl.),FDYB1950,"359 NW 40th Ave, Pahokee, Florida, United States, 33313",359 NW 40th Ave,Pahokee,Florida,United States,33313,Converted,discount house,"Jan 29, 1965",,,,,https://cinematreasures.org/theaters/15989,
Showboat,FDYB1950,"/, Pahokee, Florida, United States, ",/,Pahokee,Florida,United States,,,,,,,,,,
Lincoln,FDYB1931 -,""" "" , Palatka, Florida, United States, "" """,""" "" ",Palatka,Florida,United States,""" """,,""" """,""" """,""" """,,,,,same as below
Madison,FDYB1950,"1302 Madison St, , Palatka, Florida, United States, 32177","1302 Madison St, ",Palatka,Florida,United States,32177,Converted,church,1950,1962,,,,https://cinematreasures.org/theaters/31659,originally named Lincoln Theater 
Rex,FDYB1950,", Palmetto, Florida, United States, 34221",,Palmetto,Florida,United States,34221,,,1937,1955,,,,https://cinematreasures.org/theaters/58496,
Strand,FDYB1926,"/, Palmetto, Florida, United States, ",/,Palmetto,Florida,United States,,,,,,,,,,
Royal,FDYB1950,"714 9th Court , Panama City, Florida, United States, 32401",714 9th Court ,Panama City,Florida,United States,32401,Demolished,,1944,1964,,,,,
Belmont,FDYB1931 -,"115 East Belmont St. , Pensacola, Florida, United States, 32501",115 East Belmont St. ,Pensacola,Florida,United States,32501,,,1906,1960,,,,https://cinematreasures.org/theaters/39524,performed reverse segregation policies; white people sat in the balcony while black people sat in the main floor
Ritz,FDYB1950,"303 N. Tarragona St. , Pensacola, Florida, United States, 32501",303 N. Tarragona St. ,Pensacola,Florida,United States,32501,Demolished,,1944,1975,,,,https://cinematreasures.org/theaters/31656,
Midway,FDYB1950,"/, Perrine, Florida, United States, 33157",/,Perrine,Florida,United States,33157,,,1943,>1957,,,,https://cinematreasures.org/theaters/71818,
Brooklyn,FDYB1950,"/, Perry, Florida, United States, ",/,Perry,Florida,United States,,,,,,,,,,
Lyric,FDYB1931 -,"/, Perry, Florida, United States, ",/,Perry,Florida,United States,,,,,,,,,,
Hazel,FDYB1950,"/, Plant City, Florida, United States, ",/,Plant City,Florida,United States,,,,,,,,,,
Lincoln,FDYB1931 -,"109 9th Ave W, Plant City, Florida, United States, 34205",109 9th Ave W,Plant City,Florida,United States,34205,Demolished,,1926,February 1964,,,,https://cinematreasures.org/theaters/58241,
Case (Port.),FDYB1950,"/, Pompano, Florida, United States, ",/,Pompano,Florida,United States,,,,,,,,,,
Pompano,FDYB1950,"NE 1st St. & 4th Ave, Pompano, Florida, United States, 33060",NE 1st St. & 4th Ave,Pompano,Florida,United States,33060,,,1927,>1950,,,,https://cinematreasures.org/theaters/53310,
Harlem (Cl.),FDYB1950,"/, Port St. Joe, Florida, United States, ",/,Port St. Joe,Florida,United States,,,,,,,,,,
Lincoln,FDYB1931 -,"Charlotte Ave & Milus St., Punta Gorda, Florida, United States, 33950",Charlotte Ave & Milus St.,Punta Gorda,Florida,United States,33950,,,1930,,,,,https://cinematreasures.org/theaters/69008,
Roxy,FDYB1950,"12 W. Jefferson St. , Quincy, Florida, United States, 32351",12 W. Jefferson St. ,Quincy,Florida,United States,32351,Demolished,parking lot,1938,1964,,,,https://cinematreasures.org/theaters/32534,
Avenue,FDYB1950,"/, Sanford, Florida, United States, 32772",/,Sanford,Florida,United States,32772,,,1950,1955,,Bailey Theaters chain,,https://cinematreasures.org/theaters/58497,
Lincoln,FDYB1931 -,"/, Sanford, Florida, United States, ",/,Sanford,Florida,United States,,,,,,,,,,
Star,FDYB1950,"W. 13th St. & Shepherd Ave, Sanford, Florida, United States, 32771",W. 13th St. & Shepherd Ave,Sanford,Florida,United States,32771,,,1949,1955,,,,https://cinematreasures.org/theaters/58498,
Ace,FDYB1950,"1419 5th St. , Sarasota, Florida, United States, 34236",1419 5th St. ,Sarasota,Florida,United States,34236,Converted,art gallery,1920,1967,,,,https://cinematreasures.org/theaters/34020,
Central,FDYB1931 -,"/, Sarasota, Florida, United States, ",/,Sarasota,Florida,United States,,,,,,,,,,
Victoria,FDYB1927,"/, Sarasota, Florida, United States, ",/,Sarasota,Florida,United States,,,,,,,,,,
Avon,FDYB1950,"/, Sebring, Florida, United States, ",/,Sebring,Florida,United States,,,,,,,,,,
Dixie,FDYB1931 - FDYB1950,"/, Sebring, Florida, United States, ",/,Sebring,Florida,United States,,,,,,,,,,
Palm,FDYB1950,"/, Sebring, Florida, United States, ",/,Sebring,Florida,United States,,,,,,,,,,
Ace,FDYB1950,"/, Seminole, Florida, United States, ",/,Seminole,Florida,United States,,,,,,,,,,
Lake,FDYB1950,"/, South Bay, Florida, United States, ",/,South Bay,Florida,United States,,,,,,,,,,
Rex,FDYB1950,"/, St. Augustine, Florida, United States, ",/,St. Augustine,Florida,United States,,,,,,,,,,
Harlem,FDYB1950,"1017 3rd Ave S, St. Petersburg, Florida, United States, 33705",1017 3rd Ave S,St. Petersburg,Florida,United States,33705,Converted,parking lot,1937,1955,,,,https://cinematreasures.org/theaters/32436,
Liberty,FDYB1926-,"998 2nd Ave S, St. Petersburg, Florida, United States, 33705",998 2nd Ave S,St. Petersburg,Florida,United States,33705,Demolished,,1923,>1923,,,,https://cinematreasures.org/theaters/34195,one of st. petersburg's earliest theaters 
Lincoln,FDYB1931 -,"486 16th St. , St. Petersburg, Florida, United States, 33705",486 16th St. ,St. Petersburg,Florida,United States,33705,Demolished,highway,1927,>1929,,,,https://cinematreasures.org/theaters/34196,
Palace,FDYB1931 -,"/, St. Petersburg, Florida, United States, ",/,St. Petersburg,Florida,United States,,,,,,,,,,
Royal,FDYB1950,"1011 22nd St, South, St. Petersburg, Florida, United States, 33712","1011 22nd St, South",St. Petersburg,Florida,United States,33712,Converted,boys and girls club,1948,1966,,,,https://cinematreasures.org/theaters/6892,
Lincoln,FDYB1927,"1132 Avenue D, Stuart, Florida, United States, 34950",1132 Avenue D,Stuart,Florida,United States,34950,,,1937,>1957,,,,https://cinematreasures.org/theaters/60036,originally opened as Ritz Theater until 1957
A & AM School,FDYB1927,"/, Tallahassee, Florida, United States, ",/,Tallahassee,Florida,United States,,,,,,,,,,
Capitol,FDYB1931 - FDYB1950,"N. Macombe St. , Tallahassee, Florida, United States, 32301",N. Macombe St. ,Tallahassee,Florida,United States,32301,,,1914,>1955,,,,https://cinematreasures.org/theaters/55361,"originally opened as Capitol City Theater, closed briefly in 1926, reopened 1928/29 as Capitol Theater"
Fan,FDYB1931 -,"/, Tallahassee, Florida, United States, ",/,Tallahassee,Florida,United States,,,,,,,,,,
Leon,FDYB1950,"528 W. Tallahassee St. , Tallahassee, Florida, United States, 32301",528 W. Tallahassee St. ,Tallahassee,Florida,United States,32301,Demolished,possibly FSU parking garage,1938,1985,,,,https://cinematreasures.org/theaters/21565,"renamed Campus Art Theater 3/14/1968, renamed Randy's Campus Theater 4/17/1980"
Carver,FDYB1950,"1605 N. Boulevard, Tampa, Florida, United States, 33607",1605 N. Boulevard,Tampa,Florida,United States,33607,Demolished,,1949,1955,,,,https://cinematreasures.org/theaters/32558,
Central,FDYB1927 - FDYB1950,"1201 N. Central Ave, Tampa, Florida, United States, 33602",1201 N. Central Ave,Tampa,Florida,United States,33602,Demolished,highways/housing,1923,1955,,,,https://cinematreasures.org/theaters/32489,"""The Central Theater was a Negro theater located in ""The Scrub,"" the black neighborhood just north of downtown Tampa."""
Lincoln,FDYB1950,"1117 Central Avenue, Tampa, Florida, United States, 33602",1117 Central Avenue,Tampa,Florida,United States,33602,,,,,,,,https://cinematreasures.org/theaters/34278,"""The Lincoln Theatre was one of two Negro movie houses located in the segregated business district on Central Avenue near downtown Tampa."" https://www.flickr.com/photos/ritzyritznick/5200265751/in/photostream/"
Maceo,FDYB1931 -,"/, Tampa, Florida, United States, ",/,Tampa,Florida,United States,,,,,,,,,,
Sappold,FDYB1927,"/, Tampa, Florida, United States, ",/,Tampa,Florida,United States,,,,,,,,,,
Rex,FDYB1950,"/, Vero Beach, Florida, United States, 34221",/,Vero Beach,Florida,United States,34221,,,1937,1955,,,,https://cinematreasures.org/theaters/58496,
Arcade,FDYB1950,"/, Wauchula, Florida, United States, 33873",/,Wauchula,Florida,United States,33873,,,1949,1955,,,,https://cinematreasures.org/theaters/32475,
Ritz,FDYB1950,"/, Wauchula, Florida, United States, 33873",/,Wauchula,Florida,United States,33873,,,1949,1955,,,,https://cinematreasures.org/theaters/32478,
Wauchula,FDYB1950,"/, Wauchula, Florida, United States, 33873",/,Wauchula,Florida,United States,33873,,,1949,1955,,,,https://cinematreasures.org/theaters/32480,
Dixie,FDYB1926 - ,"328 Rosemary Ave North , West Palm Beach, Florida, United States, 33401",328 Rosemary Ave North ,West Palm Beach,Florida,United States,33401,Demolished,,<1923,>1933,,,,https://cinematreasures.org/theaters/20094,
Grand,FDYB1926 - FDYB1950,"448 Rosemary Ave North, West Palm Beach, Florida, United States, 33401",448 Rosemary Ave North,West Palm Beach,Florida,United States,33401,Demolished,,<1925,1955,,,,https://cinematreasures.org/theaters/20096,
Colored Annex,FDYB1950,"/, Winter Garden, Florida, United States, ",/,Winter Garden,Florida,United States,,,,,,,,,,
Villa,FDYB1950,"/, Winter Haven, Florida, United States, 33881",/,Winter Haven,Florida,United States,33881,,,1949,1955,,,,https://cinematreasures.org/theaters/58499,
Campobello,FDYB1931 -,"/, Ybor City, Florida, United States, ",/,Ybor City,Florida,United States,,,,,,,,,,
Casino,FDYB1927,"/, Adel, Georgia, United States, ",/,Adel,Georgia,United States,,,,,,,,,,
Ritz,FDYB1950,"225 S. Jackson Street, Albany, Georgia, United States, 31701",225 S. Jackson Street,Albany,Georgia,United States,31701,,,1930,1969,,,,https://cinematreasures.org/theaters/31991,"closed as a movie theatre in 1969. It became a cultural performing arts center, which had closed by 2021."
Harlem,FDYB1950,"/, Americus, Georgia, United States, ",/,Americus,Georgia,United States,,,,,,,,,,
Roxy,FDYB1950,"310 W. Lamar Street, Americus, Georgia, United States, 31709",310 W. Lamar Street,Americus,Georgia,United States,31709,,,1950,1951,,,,,"Rylander renamed Roxy between 1950-1951, but not sure it is the same. https://cinematreasures.org/theaters/240"
Morton Theatre,LHAT,"195 West Washington Street, Athens, Georgia, United States, 30601",195 West Washington Street,Athens,Georgia,United States,30601,,,1910,1954,,,,https://www.mortontheatre.com/,"Renovated in teh 1980s, back in activity? https://en.wikipedia.org/wiki/Morton_Theatre
https://cinematreasures.org/theaters/3438"
Star,FDYB1927 -,"/, Athens, Georgia, United States, ",/,Athens,Georgia,United States,,,,,,,,,,
Ashby,FDYB1950,"925 Martin Luther King, Jr. Drive NW, Atlanta, Georgia, United States, 30314","925 Martin Luther King, Jr. Drive NW",Atlanta,Georgia,United States,30314,Still Standing,,,,,Bailey Theaters chain,,https://cinematreasures.org/theaters/17656 ,strech formerly known as Hunter Street
Auditorium,FDYB1931,"/, Atlanta, Georgia, United States, ",/,Atlanta,Georgia,United States,,,,,,,,,,
Crystal,FDYB1927,"/, Atlanta, Georgia, United States, ",/,Atlanta,Georgia,United States,,,,,,,,,,
Eighty-one (81 Theatre),"FDYB1926 -/FDYB1931, FDYB1950","81 Decatur Street SE, Atlanta, Georgia, United States, 30303",81 Decatur Street SE,Atlanta,Georgia,United States,30303,,,1902,1964,,Bailey Theaters chain,,https://cinematreasures.org/theaters/17658,An office building was built on the site. Bessie Smith among other blues legend performed there.
Forrest,FDYB1950,"245 Ralph McGill Avenue NE, Atlanta, Georgia, United States, 30308",245 Ralph McGill Avenue NE,Atlanta,Georgia,United States,30308,Demolished,,1950,1960,,Bailey Theaters chain,,https://cinematreasures.org/theaters/70016,The original name and address was 245 Forrest Avenue NE which is in the Old Fourth Ward district to the northeast of Downtown.
Harlem,FDYB1950,"531 McDaniel Street, SW, Atlanta, Georgia, United States, 30312","531 McDaniel Street, SW",Atlanta,Georgia,United States,30312,,,1940,,,Bailey Theaters chain,,https://cinematreasures.org/theaters/58500,Was still open by 1955
Lincoln,FDYB1950,"407 Mitchell Street SW, Atlanta, Georgia, United States, 30313",407 Mitchell Street SW,Atlanta,Georgia,United States,30313,,,1937,1955,,Bailey Theaters chain,,https://cinematreasures.org/theaters/21804,
Ninety-one,FDYB1931,"/, Atlanta, Georgia, United States, ",/,Atlanta,Georgia,United States,,,,,,,,,,
Paramount,FDYB1926 -,"169 Peachtree Street NE, Atlanta, Georgia, United States, 30303",169 Peachtree Street NE,Atlanta,Georgia,United States,30303,,,1920,1960,,,,,Not to be confused with another theater renamed Paramount in 1929 but that is a white theatre https://cinematreasures.org/theaters/3434 
Royal,FDYB1932 - FDYB1950,"323 Auburn Avenue NE, Atlanta, Georgia, United States, 30303",323 Auburn Avenue NE,Atlanta,Georgia,United States,30303,,,1933,1969,,Bailey Theaters chain,,https://cinematreasures.org/theaters/16455,
Strand,FDYB1931 - FDYB1950,"51 Decatur Street SE, Atlanta, Georgia, United States, 30303",51 Decatur Street SE,Atlanta,Georgia,United States,30303,,,1930,1955,,,,https://cinematreasures.org/theaters/11729,Not to be confused with the ‘white’ Strand Theatre located at 56-58 Peachtree Street which operated 1914-1923.
Hack,FDYB1950,"/, Attapulcus, Georgia, United States, ",/,Attapulcus,Georgia,United States,,,,,,,,,,
Harlem (Show Palace Theatre),FDYB1950,"Laney-Walker Boulevard, Augusta, Georgia, United States, 30901",Laney-Walker Boulevard,Augusta,Georgia,United States,30901,,,1948,1952,,,,https://cinematreasures.org/theaters/36952,"renamed the Show Palace Theatre (aka Showcase Theatre), it closed in 1955. Now a church. Former projectionist, Albert Peters."
Lenox,FDYB1926 - FDYB1950,"1128 James Brown Boulevard, Augusta, Georgia, United States, 30901",1128 James Brown Boulevard,Augusta,Georgia,United States,30901,Demolished,,1939,,,,,https://cinematreasures.org/theaters/25931,"one of four African-American Theatres in Augusta, James Brown performed there. Still opened in 1947. Since demolished. "
Palace,Cinema Treasures,"533 9th Street, Augusta, Georgia, United States, 30901",533 9th Street,Augusta,Georgia,United States,30901,,,1921,,,,,https://cinematreasures.org/theaters/33021,"Closed, located on 9th Street or today known as James Brown Boulevard. http://www.friendsofthemiller.com/id6.html  
https://theaugustapress.com/something-you-might-not-have-known-the-palace-red-star-building/ 
https://cityofdust.blogspot.com/2010/08/nobody-knows-about-palace-theater.html"
Ritz Theatre,Cinema Treasures,"/, Augusta, Georgia, United States, 30901",/,Augusta,Georgia,United States,30901,,,1945,1948,,,,https://cinematreasures.org/theaters/36952,
Dixie,FDYB1950,"/, Barnesville, Georgia, United States, ",/,Barnesville,Georgia,United States,,,,,,,,,,
Branch,FDYB1931 -,"/, Baxley, Georgia, United States, ",/,Baxley,Georgia,United States,,,,,,,,,,
Parker,FDYB1931 -,"/, Blackshear, Georgia, United States, ",/,Blackshear,Georgia,United States,,,,,,,,,,
Gem,FDYB1950,"/, Brownsville, Georgia, United States, ",/,Brownsville,Georgia,United States,,,,,,,,,,
Jaxon,FDYB1931 -,"/, Brunswick, Georgia, United States, ",/,Brunswick,Georgia,United States,,,,,,,,,,
Palace,FDYB1927,"/, Brunswick, Georgia, United States, ",/,Brunswick,Georgia,United States,,,,,,,,,,
Roxy,FDYB1950,"1601 Albany Street, Brunswick, Georgia, United States, 31525",1601 Albany Street,Brunswick,Georgia,United States,31525,Converted,Office space,1943,,,,,https://cinematreasures.org/theaters/16502,"was still open in 1957. operated by Lucas and Jenkins, a subsidiary of Paramount Pictures Inc."
Palace,FDYB1950,"/, Camilla, Georgia, United States, ",/,Camilla,Georgia,United States,,,,,,,,,,
Dixie,FDYB1950,"1024 1st Avenue, Columbus, Georgia, United States, 31901",1024 1st Avenue,Columbus,Georgia,United States,31901,,,1950,1968,,,,https://cinematreasures.org/theaters/67340,
Dream(land),FDYB1931 -,"1022 Broadway, Columbus, Georgia, United States, 31901",1022 Broadway,Columbus,Georgia,United States,31901,,,1908,,,,,https://cinematreasures.org/theaters/2472,"recorded as the Dream in FDYB but Dreamland on CT; last known record of it in 1930 edition of the International Musician. Became a porn theater in the late 1970s. 
https://www.facebook.com/groups/409068242965197/posts/1641111983094144/"
Liberty,FDYB1933 - FDYB1950,"821 8th Avenue, Columbus, Georgia, United States, 31902",821 8th Avenue,Columbus,Georgia,United States,31902,,,1924,1974,,,,https://cinematreasures.org/theaters/12254  ,reopened 1996
Globe,FDYB1931 -,"/, Cordele, Georgia, United States, ",/,Cordele,Georgia,United States,,,,,,,,,,
New,FDYB1927,"/, Cordele, Georgia, United States, ",/,Cordele,Georgia,United States,,,,,,,,,,
Gem,FDYB1950,"/, Covington, Georgia, United States, ",/,Covington,Georgia,United States,,,,,,,,,,
Melrose,FDYB1931 -,"/, Covington, Georgia, United States, ",/,Covington,Georgia,United States,,,,,,,,,,
Silver’s Juke Joint (Silver's Lounge),(Ellerbee 2004),"210 4th St, Cuthbert, Georgia, United States, 39840",210 4th St,Cuthbert,Georgia,United States,39840,,,,,,,,,Now a nightclub
Star,FDYB1950,"/, Dawson, Georgia, United States, ",/,Dawson,Georgia,United States,,,,,,,,,,
Carver,FDYB1950,"/, Decatur, Georgia, United States, ",/,Decatur,Georgia,United States,,,,,,,,,,
Ritz,,"105 Electric Ave, Decatur, Georgia, United States, 30030",105 Electric Ave,Decatur,Georgia,United States,30030,,,,,,Bailey Theaters chain,,https://www.decaturga.com/community/page/hangin-out,(approximate address)
Rivoli,FDYB1950,"Peterson Avenue, Douglas, Georgia, United States, 31533",Peterson Avenue,Douglas,Georgia,United States,31533,,,1945,1955,,Martin Theatres,,https://cinematreasures.org/theaters/52515,The Rivoli Theatre was opened prior to 1923. By 1939 it was operated by Martin Theatres. Between 1945 and 1955 it was operating as an African-American theatre. It was still open in 1957.
Carolina (Port.),FDYB1950,"/, Fort Valley, Georgia, United States, ",/,Fort Valley,Georgia,United States,,,,,,,,,,
Dixieland,FDYB1931 - 1932,"/, Gainesville, Georgia, United States, ",/,Gainesville,Georgia,United States,,,,,,,,,,
Lincoln (Cl.),FDYB1950,"/, Gainesville, Georgia, United States, ",/,Gainesville,Georgia,United States,,,,,,,,,,
Roxy,FDYB1950,"Athens Street, Gainesville, Georgia, United States, 30507",Athens Street,Gainesville,Georgia,United States,30507,Demolished,,1946,,,Martin Theatres,,https://cinematreasures.org/theaters/23971,Georgia Theatres Circuit Inc. launched the Roxy Theatre for African American audiences in 1946 seating 520 patrons. Harry E. Martin was the operator of the theatre.
Connally,FDYB1926,"/, Griffin, Georgia, United States, ",/,Griffin,Georgia,United States,,,,,,,,,,
Liberty,FDYB1931 - 1932,"/, Griffin, Georgia, United States, ",/,Griffin,Georgia,United States,,,,,,,,,,
Lincoln,FDYB1950,"/, Griffin, Georgia, United States, ",/,Griffin,Georgia,United States,,,,,,,,,,
New Colored,FDYB1950,"/, Jackson, Georgia, United States, ",/,Jackson,Georgia,United States,,,,,,,,,,
Dreamland,FDYB1927,"/, La Grange, Georgia, United States, ",/,La Grange,Georgia,United States,,,,,,,,,,
Princess,FDYB1950,"/, La Grange, Georgia, United States, ",/,La Grange,Georgia,United States,,,,,,,,,,
Harlem (Cl.),FDYB1950,"/, Lithonia, Georgia, United States, ",/,Lithonia,Georgia,United States,,,,,,,,,,
Star,FDYB1926,"/, Louisville, Georgia, United States, ",/,Louisville,Georgia,United States,,,,,,,,,,
Dixie,FDYB1950,"107 Hardeman Street, Macon, Georgia, United States, 31201",107 Hardeman Street,Macon,Georgia,United States,31201,Demolished,,1940,1955,,Bijou Amusement Co.,,https://cinematreasures.org/theaters/41837,Hardman Street no longer exists either.
Douglass (Douglas) Theatre,"LHAT, FDYB1926 - FDYB1950","355 Martin Luther King, Jr., Blvd, Macon, Georgia, United States, 31201","355 Martin Luther King, Jr., Blvd",Macon,Georgia,United States,31201,Still Standing,,1912,1977,,Charles Douglass,,https://www.douglasstheatre.org/history/,"Restored and reopened in 1997. Owner was an African American businessman, not a chain owned by a white person. https://cinematreasures.org/theaters/10417 "
Midget,FDYB1926,"/, Marietta, Georgia, United States, ",/,Marietta,Georgia,United States,,,,,,,,,,
Harlem,FDYB1950,"/, Moultrie, Georgia, United States, ",/,Moultrie,Georgia,United States,,,,,,,,,,
Star,FDYB1931 - 1932,"/, Moultrie, Georgia, United States, ",/,Moultrie,Georgia,United States,,,,,,,,,,
Deal's O H,FDYB1927,"/, Nashville, Georgia, United States, ",/,Nashville,Georgia,United States,,,,,,,,,,
Pal,FDYB1950,"/, Newman, Georgia, United States, ",/,Newman,Georgia,United States,,,,,,,,,https://cinematreasures.org/theaters/16594,"closed in late 1960s, converted into Tommy's Garage, today vacant building. ""If one is built on the main street and the other on a side street, then it is most likly that the side street would be the african american theatre."""
Star,FDYB1950,"Culpepper Street, Quitman, Georgia, United States, 31643",Culpepper Street,Quitman,Georgia,United States,31643,Converted,Garage,1945,,,,,,
Broadway,FDYB1931 - 1932,"/, Rome, Georgia, United States, ",/,Rome,Georgia,United States,,,,,,,,,,
Carver,FDYB1950,"/, Rome, Georgia, United States, ",/,Rome,Georgia,United States,,,,,,,,,,
Dunbar,"FDYB1931 - 1932,  FDYB1950","467 W. Broad Street, Savannah, Georgia, United States, 31401",467 W. Broad Street,Savannah,Georgia,United States,31401,Demolished,,1921,,,Bailey Theaters chain,,https://cinematreasures.org/theaters/16530,"Opened in 1921 with as screening of the Oscar Micheaux film “Symbol of the Unconquered”. It opened as the New Dunbar Theatre by the Savannah Motion Picture Company.
West Broad is now Martin Luther King Boulevard. The theater would be across the street from the Ralph Gilbert Civil Rights Museum, approximately. Everything on the odd side of the street has been leveled to make way for an adjacent freeway. Status should be closed/demolished."
East Side,FDYB1950,"718 E. Broad Street, Savannah, Georgia, United States, 31401",718 E. Broad Street,Savannah,Georgia,United States,31401,,,1946,,,Bailey Theaters chain,,https://cinematreasures.org/theaters/16529,"The Eastside Theater is also listed in the book “African-American Theater Buildings: An Illustrated Historical Directory, 1900-1955” by Eric Ledell Smith. 
https://web.archive.org/web/20200112074140/https://www.savannahnow.com/news/20200111/savannahrsquos-last-standing-blacks-only-theater-remembered-as-refuge-community-space
https://web.archive.org/web/20200114182935/https://www.savannahnow.com/news/20200113/former-eastside-theater-faces-uncertain-future-possible-disappearance"
Melody,FDYB1950,"632 E. Broad Street, Savannah, Georgia, United States, 31401",632 E. Broad Street,Savannah,Georgia,United States,31401,Converted,Church,1946,1952,,Mose Portman and L.H. Shepard,,https://cinematreasures.org/theaters/32242,"At the time it was a mix of movies and music revues. Now the home of St. James AME Church. Important anti-trust lawsuit against Bailey Chain & studio distribution system (Paramount etc.)
https://www.facebook.com/SavannahBlackHistory/posts/march-23-1946-built-by-its-ownersmose-portman-and-l-h-shepard-at-a-cost-of-12500/504377895299788/"
Star,FDYB1931 - FDYB1950,"508 W. Broad Street, Savannah, Georgia, United States, 31401",508 W. Broad Street,Savannah,Georgia,United States,31401,,,1921,,,Bailey Theaters chain,,https://cinematreasures.org/theaters/16531,destroyed by fire during race riots in the early-1960’s
Star,FDYB1950,"/, Swainsboro, Georgia, United States, ",/,Swainsboro,Georgia,United States,,,,,,,,,,
Harlem,FDYB1950,"/, Thomaston, Georgia, United States, ",/,Thomaston,Georgia,United States,,,,,,,,,,
Ritz,FDYB1950,"311 W. Jackson Street, Thomasville, Georgia, United States, 31792",311 W. Jackson Street,Thomasville,Georgia,United States,31792,Demolished,,,,,Interstate Enterprises,,https://cinematreasures.org/theaters/29142,"operating prior to 1941, and closed in the late-1970’s"
Roxy,FDYB1950,"17th Street W and Park Avenue S, Tifton, Georgia, United States, 31794",17th Street W and Park Avenue S,Tifton,Georgia,United States,31794,,,1948,1955,,,,https://cinematreasures.org/theaters/55848, It was located in an American Legion Hall.
Liberty,FDYB1950,"115 E. Florida Avenue, Valdosta, Georgia, United States, 31601",115 E. Florida Avenue,Valdosta,Georgia,United States,31601,,,1935,,,Martin Theatres,,https://cinematreasures.org/theaters/32241,The theatre was still open in 1955. It was then in use as a night spot of one kind or another for many years. The roofless shell of the theatre is still standing facing a railway track under the Beck Overpass.
Palace,FDYB1950,"410 S. Patterson Street, Valdosta, Georgia, United States, 31601",410 S. Patterson Street,Valdosta,Georgia,United States,31601,,,1926,1958,,Martin Theatres,,https://cinematreasures.org/theaters/52156,Located around the corner from the Liberty Theatre.
Valdosta,FDYB1926,"/, Valdosta, Georgia, United States, ",/,Valdosta,Georgia,United States,,,,,,,,,,
